subject,experiment,wrote_notes,enc_modality,ret_modality,plis,pli_recency
MTK0111,1,0,a,a,0.14285714285714285,0.0
MTK0112,1,0,v,v,0.14285714285714285,1.0
MTK0112,1,0,v,a,0.0,
MTK0112,1,0,a,v,0.2857142857142857,0.5
MTK0112,1,0,a,a,0.14285714285714285,0.0
MTK0113,1,0,v,v,0.2857142857142857,1.0
MTK0113,1,0,v,a,0.0,
MTK0113,1,0,a,v,0.0,
MTK0113,1,0,a,a,0.0,
MTK0114,1,0,v,v,0.0,
MTK0114,1,0,v,a,0.0,
MTK0114,1,0,a,v,0.0,
MTK0114,1,0,a,a,0.14285714285714285,0.0
MTK0115,1,0,v,v,0.0,
MTK0115,1,0,v,a,0.125,1.0
MTK0115,1,0,a,v,0.0,
MTK0115,1,0,a,a,0.0,
MTK0116,1,0,v,v,0.0,
MTK0116,1,0,v,a,0.0,
MTK0116,1,0,a,v,0.0,
MTK0116,1,0,a,a,0.0,
MTK0118,1,0,v,v,0.0,
MTK0118,1,0,v,a,0.0,
MTK0118,1,0,a,v,0.0,
MTK0118,1,0,a,a,0.0,
MTK0119,1,0,v,v,0.14285714285714285,1.0
MTK0119,1,0,v,a,0.0,
MTK0119,1,0,a,v,0.14285714285714285,0.0
MTK0119,1,0,a,a,0.14285714285714285,0.0
MTK0120,1,0,v,v,0.0,
MTK0120,1,0,v,a,0.0,
MTK0120,1,0,a,v,0.0,
MTK0120,1,0,a,a,0.0,
MTK0121,1,0,v,v,0.14285714285714285,0.0
MTK0121,1,0,v,a,0.0,
MTK0121,1,0,a,v,0.0,
MTK0121,1,0,a,a,0.14285714285714285,0.0
MTK0122,1,0,v,v,0.0,
MTK0122,1,0,v,a,0.0,
MTK0122,1,0,a,v,0.0,
MTK0122,1,0,a,a,0.0,
MTK0123,1,0,v,v,0.0,
MTK0123,1,0,v,a,0.25,0.0
MTK0123,1,0,a,v,0.0,
MTK0123,1,0,a,a,0.2857142857142857,0.3333333333333333
MTK0125,1,0,v,v,0.0,
MTK0125,1,0,v,a,0.2857142857142857,0.0
MTK0125,1,0,a,v,0.0,
MTK0125,1,0,a,a,0.14285714285714285,0.0
MTK0126,1,0,v,v,0.0,
MTK0126,1,0,v,a,0.0,
MTK0126,1,0,a,v,0.0,
MTK0126,1,0,a,a,0.0,
MTK0127,1,0,v,v,0.0,
MTK0127,1,0,v,a,0.0,
MTK0127,1,0,a,v,0.0,
MTK0127,1,0,a,a,0.0,
MTK0128,1,0,v,v,0.14285714285714285,1.0
MTK0128,1,0,v,a,0.125,0.0
MTK0128,1,0,a,v,0.14285714285714285,1.0
MTK0128,1,0,a,a,0.14285714285714285,0.0
MTK0129,1,0,v,v,0.0,
MTK0129,1,0,v,a,0.125,0.0
MTK0129,1,0,a,v,0.0,
MTK0129,1,0,a,a,0.14285714285714285,0.0
MTK0130,1,0,v,v,0.2857142857142857,0.0
MTK0130,1,0,v,a,0.0,
MTK0130,1,0,a,v,0.0,
MTK0130,1,0,a,a,0.0,
MTK0133,1,0,v,v,0.0,
MTK0133,1,0,v,a,0.125,0.0
MTK0133,1,0,a,v,0.0,
MTK0133,1,0,a,a,0.2857142857142857,0.0
MTK0134,1,0,v,v,0.0,
MTK0134,1,0,v,a,0.0,
MTK0134,1,0,a,v,0.0,
MTK0134,1,0,a,a,0.0,
MTK0137,1,0,v,v,0.42857142857142855,0.6666666666666666
MTK0137,1,0,v,a,0.125,1.0
MTK0137,1,0,a,v,0.14285714285714285,0.0
MTK0137,1,0,a,a,0.0,
MTK0138,1,0,v,v,0.0,
MTK0138,1,0,v,a,0.0,
MTK0138,1,0,a,v,0.0,
MTK0138,1,0,a,a,0.0,
MTK0140,1,0,v,v,0.2857142857142857,0.0
MTK0140,1,0,v,a,0.125,0.0
MTK0140,1,0,a,v,0.0,
MTK0140,1,0,a,a,0.2857142857142857,0.0
MTK0142,1,0,v,v,0.0,
MTK0142,1,0,v,a,0.5,0.0
MTK0142,1,0,a,v,0.14285714285714285,0.0
MTK0142,1,0,a,a,0.42857142857142855,0.6000000000000001
MTK0143,1,0,v,v,0.14285714285714285,0.0
MTK0143,1,0,v,a,0.2857142857142857,0.6000000000000001
MTK0143,1,0,a,v,0.0,
MTK0143,1,0,a,a,0.14285714285714285,0.0
MTK0144,1,0,v,v,0.2857142857142857,1.0
MTK0144,1,0,v,a,0.0,
MTK0144,1,0,a,v,0.0,
MTK0144,1,0,a,a,0.14285714285714285,1.0
MTK0145,1,0,v,v,0.0,
MTK0145,1,0,v,a,0.0,
MTK0145,1,0,a,v,0.0,
MTK0145,1,0,a,a,0.0,
MTK0146,1,0,v,v,0.0,
MTK0146,1,0,v,a,0.0,
MTK0146,1,0,a,v,0.0,
MTK0146,1,0,a,a,0.0,
MTK0147,1,0,v,v,0.0,
MTK0147,1,0,v,a,0.0,
MTK0147,1,0,a,v,0.0,
MTK0147,1,0,a,a,0.0,
MTK0148,1,0,v,v,0.0,
MTK0148,1,0,v,a,0.125,1.0
MTK0148,1,0,a,v,0.5,0.25
MTK0148,1,0,a,a,0.0,
MTK0149,1,0,v,v,0.0,
MTK0149,1,0,v,a,0.0,
MTK0149,1,0,a,v,0.0,
MTK0149,1,0,a,a,0.0,
MTK0150,1,0,v,v,0.0,
MTK0150,1,0,v,a,0.125,0.0
MTK0150,1,0,a,v,0.42857142857142855,0.27272727272727276
MTK0150,1,0,a,a,0.2857142857142857,0.0
MTK0151,1,0,v,v,0.0,
MTK0151,1,0,v,a,0.14285714285714285,0.0
MTK0151,1,0,a,v,0.125,0.0
MTK0151,1,0,a,a,0.14285714285714285,1.0
MTK0153,1,0,v,v,0.14285714285714285,0.0
MTK0153,1,0,v,a,0.5,0.0
MTK0153,1,0,a,v,0.0,
MTK0153,1,0,a,a,0.0,
MTK0154,1,0,v,v,0.0,
MTK0154,1,0,v,a,0.125,0.0
MTK0154,1,0,a,v,0.0,
MTK0154,1,0,a,a,0.0,
MTK0155,1,0,v,v,0.0,
MTK0155,1,0,v,a,0.125,0.0
MTK0155,1,0,a,v,0.0,
MTK0155,1,0,a,a,0.2857142857142857,0.0
MTK0157,1,0,v,v,0.0,
MTK0157,1,0,v,a,0.0,
MTK0157,1,0,a,v,0.2857142857142857,0.16666666666666669
MTK0157,1,0,a,a,0.14285714285714285,0.0
MTK0158,1,0,v,v,0.14285714285714285,0.0
MTK0158,1,0,v,a,0.2,0.0
MTK0158,1,0,a,v,0.25,0.0
MTK0158,1,0,a,a,0.0,
MTK0159,1,0,v,v,0.0,
MTK0159,1,0,v,a,0.0,
MTK0159,1,0,a,v,0.0,
MTK0159,1,0,a,a,0.14285714285714285,0.0
MTK0160,1,0,v,v,0.0,
MTK0160,1,0,v,a,0.0,
MTK0160,1,0,a,v,0.2,0.0
MTK0160,1,0,a,a,0.14285714285714285,0.0
MTK0161,1,0,v,v,0.0,
MTK0161,1,0,v,a,0.25,0.5555555555555556
MTK0161,1,0,a,v,0.0,
MTK0161,1,0,a,a,0.0,
MTK0163,1,0,v,v,0.0,
MTK0163,1,0,v,a,0.0,
MTK0163,1,0,a,v,0.0,
MTK0163,1,0,a,a,0.0,
MTK0165,1,0,v,v,0.0,
MTK0165,1,0,v,a,0.2857142857142857,0.5
MTK0165,1,0,a,v,0.0,
MTK0165,1,0,a,a,0.5714285714285714,0.15384615384615385
MTK0166,1,0,v,v,0.0,
MTK0166,1,0,v,a,0.14285714285714285,0.0
MTK0166,1,0,a,v,0.125,1.0
MTK0166,1,0,a,a,0.14285714285714285,0.0
MTK0167,1,0,v,v,0.14285714285714285,0.0
MTK0167,1,0,v,a,0.16666666666666666,0.0
MTK0167,1,0,a,v,0.125,0.0
MTK0167,1,0,a,a,0.14285714285714285,0.0
MTK0168,1,0,v,v,0.0,
MTK0168,1,0,v,a,0.0,
MTK0168,1,0,a,v,0.0,
